,PB Cycle,Idea #,Committee,Project Title,Project Description,Project Status,Idea Submitter,Location,Latitude,Longitude,Entities
1797,PB4(June-December 2017),Y051,Youth Education & Technology,Vending Machines on Area 4,The young people at Area 4 would like vending machines so that they can have healthy snack options in their youth center.,To be determined,Moses Youth Center,"Moses Youth Center, 243 Harvard Street
(42.42061000000007, -88.61744999999996)",,,"Vending Machines,Area"
1798,PB4(June-December 2017),E090,"Environment, Health & Safety",Save the Bees!,"Bees are dying at an alarming rate! Bees pollinate 71 of the 100 crops we rely on to provide 90% of the world's food. Recently beekeepers have reported they are losing 30% of all honeybee colonies each winter. One of the many reasons for this is loss of habitat. To combat this, Cambridge could construct honeybee hives on top of city buildings to ensure that the bees stay separate from humans while also living a healthy life.  A strong contestant building is the City Hall Annex. This idea is low cost and helps address one of the biggest issues facing the environment today.",To be determined,Marcella Kamishlian,"344 Broadway
(38.61520000000007, -78.79812999999996)",,,Bees
1799,PB4(June-December 2017),P029,"Parks, Recreation & Education","""Loose parts"" building blocks for city playgrounds","Our city playgrounds are great and most have great play structures that are well maintained, but they are all fixed both physically and in the way that children interact with them.  I propose supplying playgrounds with ""loose parts"" toys, which children can use to build whatever they dream up. Imagination Playground makes large, waterproof, foam building block that would be great for this. Several preschools and after schools in the area have them in their private playgrounds.

http://www.imaginationplayground.com/product/big-blocks.html",To be determined,Miranda Pearce,"Danehy Park, citywide
(39.11014000000006, -100.36132999999995)",,,"parts,building blocks,city playgrounds"
1800,PB3(June-December 2016),S090,"Streets, Sidewalks & Transit",Make Inman Square Safe,"Inman Square needs to be corrected so that crossing the street is safe, but for decades nothing is done.  There is complete and total inaction.  To push change for making crossing the streets of Inman Square safe for everyone, each time a pedestrian hit by a car or truck while crossing Inman Square, one city councilor will lose any future government pension.  This concept is the last best hope of a desperate citizenry, and it can save taxpayers some money as well.  The longer nothing is done, the more years this issue is ignored, the greater the number of city councilors will lose their government pensions.  After 9 people are hit in Inman Square, the pensions of future city councilors are then eliminated.  Please note: Taking away the pension of the city manager for the 10th person struck can be considered as a friendly amendment.",Budget Delegates did not move this idea forward because the City is already in the process of redesigning Inman Square.,Edgar Rice,"Inman Square
(42.382040000000075, -71.10976999999997)",,,"Inman Square,Safe"
1801,PB3(June-December 2016),C050,Culture & Community,"""Cambridge Cares"" Phone/Computer App","We have more senior citizens in the US than we've ever had, creating an urgent need for care. Many Cambridge families care for their elders, loved ones with disabilities, or children, or in the case of those in the ""sandwich generation,"" both elders and children. Our phone app would ensure the most quality care for our community's elders, people with disabilities, and children, and would provide support for their caregivers. It would connect Cambridge adult caregivers and caregivers of children - parents, grandparents, nannies, au pairs - to local resources, including children's activities by day, advice for new parents, activities for elders, programs in different languages, information on state laws that impact those hired to provide care services and their employers, and a listing of support groups for caregivers. The app would bring this critical information together in a centralized location on people's cell phones!","Budget Delegates did not move this idea forward because the Human Services Department has already created Find It Cambridge, ""an innovative online resource that empowers families, youth, and those who support them to easily find the activities, services, and resources they are looking for in Cambridge."" For more information, please visit www.finditcambridge.org. ",Matahari Cambridge Caregivers' Team (Matahari Women Workers' Center),"citywide/online
(42.79029994800004, -86.10384999999997)",,,"Phone,Cambridge Cares,App,Computer"
1802,PB3(June-December 2016),H092,"Environment, Health & Safety",Public Drinking Fountains,"In some of the squares, drinking fountains with cool water that wouldn't be hard to use and keep clean","A project to install four water fountains and bottle refill stations around the City made it to the ballot and won $37,000 in funding.  ",Bettina,"citywide
(42.79029994800004, -86.10384999999997)",,,Drinking Fountains
1803,PB4(June-December 2017),P120,"Parks, Recreation & Education",Universal design playground,"Students from Eleanor's Community Learning Center class want to resubmit the Universal Design (UD) playground equipment proposal that made it to the PB ballot last year.  Universal Design playground equipment is designed to be usable by everyone without special adaptations or retrofitting. Let's go beyond legally required minimum accessibility standards to ensure our playgrounds truly welcome everyone! Cambridge playgrounds offer many wonderful and diverse opportunities for outdoor play, but we need to do more to create spaces where people of all physical abilities can play together. Cambridge is home to thousands of people living with disabilities--stimates range from 7,500 to 13,000--and these neighbors would greatly benefit from increased opportunities to play outdoors with family and friends. [see UD proposal from last year's ballot here: http://pb.cambridgema.gov/universal_design]",To be determined,Eleanor's Community Learning Center class,"citywide
(42.79029994800004, -86.10384999999997)",,,design playground
1804,PB4(June-December 2017),S005,"Streets, Sidewalks & Transit",One-Time Upgrade to Commonwealth Connects to Integrate Aggressive Driving Reporting,"Aggressive driving, in particular aggressive driving towards cyclists, is a frequent occurrence on the streets of Cambridge.  While police enforcement of many of the incidents that fall under this classification may be impractical or unactionable, awareness of these incidents can provide a more accurate assessment of the safety of our roads and help to identify new conflict points between cyclists, motorists and pedestrians.  Additionally, many times the involved vehicles are repeat offenders and so this would serve to notify road users to be vigilant of potential aggressive drives and from interactions with fellow cyclists and pedestrians, notifying the community of potential danger provides the individual with a constructive closure to a traumatic experience. 	The idea would be to add aggressive driving as a form of reporting available through the Commonwealth Connect app or a Cambridge City Government online form that could then be aggregated in pre-existing data analysis.  ",To be determined,Ted Feldman (on behalf of Harvard University Cycling Association),"City Hall
(35.04331005600005, -85.30762997399995)",,,"Upgrade,Commonwealth,Aggressive Driving Reporting"
1805,PB4(June-December 2017),C093,Culture & Community,Cremation Scattering Garden,"(I couldn't fit all of my idea here) Project Idea: Establish a designated area in the Cambridge Cemetery or another City property for the scattering of cremation ashes of deceased Cambridge residents. Benefit to Cambridge Residents: Cremation and scattering of cremated remains is ecological and economical. Offering a legal and respectful location to scatter cremated remains would help Cambridge residents be financially and environmentally responsible with their end of life decisions. The Cambridge Cemetery has finite space for individual burial plots, but a cremation scattering garden could be used in perpetuity by current and future residents of Cambridge.

Cambridge Cemetery Prices: https://www.cambridgema.gov/theworks/ourservices/cambridgecemetery/intermentinformation/cemeteryfees

Purchasing a cremation burial plot, interment of cremated remains at the plot and paying for perpetual care of the plot currently costs many hundreds of dollars at the Cambridge Cemetery.",To be determined,Catherine Lee,"Cambridge Cemetery or other location
(39.21399000000008, -79.63700999999998)",,,Cremation Scattering Garden
1806,PB3(June-December 2016),C008,Culture & Community,Functional Public Art,Look at the website of Colin Selig  www.colinselig.com to see what I mean. (Public disclosure - Colin is my nephew). I think some functional art like that would be noticed when one visits a park or public space.,"Budget Delegates decided to incorporate the idea of functional public art into other proposals on the ballot instead of advancing a standalone project. Ballot projects with built-in functional public art elements included Learn About Nature in the Port (educational signs about local flora and fauna), Cambridge Street Art Trail, Little Free Libraries for Children, Building a Strong and Safe Bike Community (bike rack), and Hydration Stations in Four Locations (water fountains). ",Dorian,"citywide
(42.79029994800004, -86.10384999999997)",,,Public Art
1807,PB4(June-December 2017),C059,Culture & Community,Sunscreen dispensers at city parks,"Sunscreen should be available to all who visit public parks, in order to prevent skin cancer.  This could be available at least from the months of April to October. This is a way to help people who can't afford sunscreen or who may not have the sunscreen available.  This could be piloted at Danehy Park, and then extended to other city parks.",To be determined,Jessica Liao,"citywide
(42.79029994800004, -86.10384999999997)",,,"Sunscreen dispensers,city parks"
1808,PB4(June-December 2017),Y022,Youth Education & Technology,Harnessing technology to connect residents to their City,"The City has many amenities, and the ideas submitted to PB reveal that residents are unaware of some of them. In a world where time is sadly a commodity, people need a way to learn about public services other than by chance or in-depth research. A program similar to Findit! Cambridge should be created at least online to connect and inform residents about amenities such as parks with equipment appropriate for their children, waterplay sites, sports-specific recreational areas, public phone charging stations, bike racks, etc. This ""connector"" could also provide upcoming civic engagement opportunities and serve as an access point to promote civic engagement and awareness. The most sophisticated version of this idea would be an app that can direct a person based on their coordinates to the nearest amenities (eg. water fountains, bike racks, public toilets.)

Add'l Benefits
Promotes use of public green space
Attracts/engages younger ppl
Helps new residents integrate into community",To be determined,Jess N.,"citywide
(42.79029994800004, -86.10384999999997)",,,"technology,residents,City"
1809,PB3(June-December 2016),S009,"Streets, Sidewalks & Transit",Bus stop pole information on the benefits of transit ridership,"When people take the bus, do they appreciate all the ways they are helping the world and their community.  The poles holding bus signs have holes to screw in additional signs. The city could provide concise and compelling information about how much green house gas  and asthma-causing pollution is avoided by choosing to take the bus instead of drive.  Potential bus riders  could be reminded how their choice also reduces traffic congestion, reduces strain on the city's limited parking capacity, and makes Cambridge a more walkable, liveable community. Bus ridership even helps the city compete for scarce state and federal dollars for new transit projects. The information could be mounted either on signs or sturdy laminated binders. The city could produce a few dozen of these educational and artistic displays and rotate their locations every few months, so that they will always be viewed as new and exciting by nearby residents.",Budget Delegates did not rank this as a high priority project. ,Phineas Baxandall,"citywide
(42.79029994800004, -86.10384999999997)",,,"Bus stop pole information,benefits,transit ridership"
1810,PB4(June-December 2017),Y053,Youth Education & Technology,Video Game Center for Everyone!,"The benefits of video game play have been shown to improve our hand-eye coordination, create opportunities for social engagement, & are now a part of the everyday lives of most Americans. But barriers to access prevent kids & adults with disabilities from enjoying & benefiting from this recreation. Our project would partner with AbleGamers, the largest charity for gamers & their allies to design & create local ""Expansion Packs"" in our Youth Centers & other settings. Expansion Packs, intended for facilities with multiple special needs individuals, include assistive technology, special controllers, & great video games! This would increase the usability of our Youth Centers, allow more peer socializing & improve tech skills for all. Even more importantly, it would increase fun! We believe that Cambridge should provide equal access to fun, so that regardless of abilities kids can have a place to meet & have fun gaming! More info at http://bit.ly/2u0dFdD & http://www.ablegamers.com",To be determined,"Mike Langlois, LICSW","Apostolic Pentecostal Church
(34.28000000000003, -118.49221999999997)",,,"Video Game Center,Everyone"
1811,PB3(June-December 2016),S134,"Streets, Sidewalks & Transit",Shepard St. Bicycle Boulevard,"Giving bikes priority on this one street would create a lower-stress route from east to west.  For bicycle commuters who cross Mass. Ave. there are very few ""clean"" crossings.  Shepard St. offers an opportunity to continue from Wendell St. through to Garden St., but after 5PM the parked cars force bikes and car traffic to coexist in the narrow traffic lane.  Let the cars go around via Linnaean St. or Waterhouse St. ",To be determined,Dan Harrington,"Shepard Street
(42.73178000000007, -84.52852999999999)",,,Shepard St. Bicycle Boulevard
1812,PB3(June-December 2016),S105,"Streets, Sidewalks & Transit",Bike box and better sharrow transition  at Broadway and Prospect,"By the gas station on Prospect and Broadway heading south, there is a short ineffectual bike lane, that. pushes bikes to the right and then into the backs of parked cars as you transition and  are forced  merge left contending with traffic . Replacing the 10 foot bike lane with a bike box and a better sharrow transition on the other side of Broadway would improve the safety here ",To be determined,Tom Meek,"Broadway &amp; Prospect
(47.62838700000003, -122.31354824999994)",,,"Bike box,transition,Prospect,Broadway"
1813,PB3(June-December 2016),H025,"Environment, Health & Safety",Clean Central Square,Clean Central Square,Budget Delegates did not move this idea forward since there was no capital project proposed.,Zuni Garcia,"Central Square
(43.285540000000026, -76.14580999999998)",,,Central Square
1814,PB4(June-December 2017),S069,"Streets, Sidewalks & Transit",Flex posts on Huron Ave,"Once the Huron Ave reconstruction project is finished, if the engineers and planners deem it safe, flex posts should be added between vehicular lanes and the new bicycle lanes. The current paint delineators for the bicycle lanes are already wearing away in locations where traffic isn't being rerouted, indicating that people driving cars are unnecessarily weaving in and out of the lanes. Because of the delay that a redesign would have caused, the reconstruction of Huron Ave couldn't include  fully separated lanes. But on a four lane road with two lanes of parking, the very least that could be done is to add some flex posts to better protect bicyclists. This would especially make sense given that a new Hubway station is being installed at the end of Vassal Lane!",To be determined,Jess N.,"Huron Avenue
(41.38347008900007, -82.46501605999998)",,,"Flex posts,Huron Ave"
1815,PB3(June-December 2016),S191,"Streets, Sidewalks & Transit",Speed Tables at each entry into Cambridge,"How does your idea help improve life in Cambridge?  As a daily reminder to all drivers entering Cambridge, could a speed table be installed at each significant intersection (about 14)? Sign: suggested 25 MPH THROUGHOUT Cambridge, WATCH out for children, walking and biking, and GIVE WAY to buses and vans especially during rush hours. Entering Cambridge (and Boston, Watertown, Belmont, Arlington, or Somerville)",To be determined,Arthur Strang,"Mount Auburn &amp; Belmont St, citywide
(39.11812000000003, -84.50354999999996)",,,"Speed Tables,entry,Cambridge"
1816,PB3(June-December 2016),S113,"Streets, Sidewalks & Transit",More bike lanes,"Mass. Ave., Cambridge St., Prospect St.",To be determined,Ona's ESL class,"Mass. Ave, Cambridge Street, Prospect Street, citywide
(42.36985520800005, -71.10065362099994)",,,bike lanes
1817,PB3(June-December 2016),C048,Culture & Community,New equipment for North Cambridge Senior Center,Can use new tables and folding chairs and updated computers ,Budget Delegates did not rank this as a high priority project.,Anonymous ,"North Cambridge Senior Center, 2050 Mass. Ave.
(42.10960490000008, -70.67182859999997)",,,"equipment,Senior Center,North Cambridge"
1818,PB3(June-December 2016),H004,"Environment, Health & Safety",RAT INFESTATION,"The rat infestation is a serious health problem for residents of Cambridge. Inhaling rat dander can cause sneezing, coughing and the exposure to rat feces, urine left behind may lead to allergic reactions and other diseases. The damage is not only to our health. They're in/outside of  homes doing damage to wires, walls, basements,etc.  Encountering a RAT (dead or alive), as you  walk down the street,  getting out of your car, taking out your trash, is not uncommon these days. A rat bite is dangerous!  They are in schools where children touch furniture, sit on rugs, food trays, seats, where these critters have crawled and left dander, feces, urine behind.","Did not move forward. The City has a contractor working on rat issue on City property, and no capital project is doable outside of that. Residents concerned about rodents in residential neighborhoods can contact DPW.",Cheryl,"citywide
(42.79029994800004, -86.10384999999997)",,,RAT INFESTATION
1819,PB3(June-December 2016),S133,"Streets, Sidewalks & Transit",Revitalized bike path for River Street,"The fantastic bike path on Western Ave only goes one way.  Bikers (esp. families) need a way to get back to Central Sq. from the river.  How about making over the deteriorated bike path on River Street, with protected lanes.",To be determined,Peter Karol,"River Street
(32.080580000000054, -81.08992999999998)",,,"bike path,River Street"
1820,PB3(June-December 2016),H052,"Environment, Health & Safety",A service or meeting space for autistic/HFA/Asperger's adults,"There are many adults in Cambridge who are on the autism spectrum. Once they leave school, they're on their own. It would be nice to have a place or program where they could meet twice a month and get to know each other (people like them), and also receive training in good social habits that will help them navigate the world better. Perhaps the program part is something the Department of Human Services Programs can look into, but having a dedicated space might be something Participatory Budgeting could fund.",Not eligible: not a capital project. Starting a program like this would require operating funds.,Ugebai Poweigha,"citywide
(42.79029994800004, -86.10384999999997)",,,"service,space,Asperger,HFA,adults"
1821,PB3(June-December 2016),H075,"Environment, Health & Safety",Safe sharing of surplus restaurant food,"(This may be a duplicate.  Posted this earlier, but not sure if it went through.)
 In India a restaurant owner put a refrigerator outside her place, stocked with its surplus food.  Let's copy this for Cambridge.  I propose we install two refrigerators, one in Central Square and one in Inman Square, outside restaurants decided on by the local business association.  Surplus food (marked with date) from the restaurants in the area would be left there for people who need it.  This would reduce food waste and provide a safe source of food for people.  
The refrigerator would have glass doors (like soft drink cases) to prevent children being accidentally shut in. The original idea came from http://www.huffingtonpost.com/entry/restaurant-makes-street-fridge-for-leftovers-to-feed-needy_us_56facba3e4b0a372181b2981.  People already look for food in dumpsters, so this would provide a safer source.",Budget Delegates did not move this idea forward. They felt it was not feasible from a food safety perspective and that local food pantries were addressing some of the need.,Joan Hill,"Central Square &amp; Inman Square
(35.08190895700005, -81.97657426599994)",,,"sharing,surplus restaurant food"
1822,PB3(June-December 2016),C053,Culture & Community,Sit to Stand Desks for the Library,"Sitting for too long is bad for our health. The Mayo Clinic states that prolonged sitting is associated with cardiovascular disease. Other sources point to additional health problems, such as tight hips, poor leg circulation, and a sore back.  Unfortunately, many of the places we visit lead us to sit for too long. The library is no exception--if you want to read a book or work on your computer, you have to sit. We should redesign our library to help us sit less and move more.  Sit to stand desks are a great way to get us on our feet. With a sit to stand desk, you can adjust the desk's height to alternate between sitting and standing. Check out http://www.varidesk.com for examples.  Sit to stand desk attachments can be placed on existing library desks. For less than $8,000, we could add 20 of these desks to the library. Installing these desks at the main branch would be a small investment for a big payoff--better health and greater comfort for the residents of Cambridge.","Library staff advised that installing standing desks consistent with the building's current furniture and design would cost about $15,000. Budget Delegates ultimately did not rank this as a high priority proposal.",,"Main Library, 449 Broadway
(35.45517000000007, -79.05216999999999)",,,"Library,Stand Desks"
1823,PB3(June-December 2016),S124,"Streets, Sidewalks & Transit",Bike Path,"I propose a bike path from Holworthy St to the Brattle St along the northern sidewalk of Mt Auburn St. the Western section of Brattle St is hardly utilized. We could close a lane and make it one way for people going East, this would provide plenty of room for a bike lane as well as save the MBTA buses some trouble during rush hour as they try and stay right for the bus stop at the exact point traffic is merging from the left. This area is a funnel for bicycle commuters. Every day I see hordes of people biking East on both sidewalks, or even on Mt Auburn St where there arnt even a bike lanes or shoulders. ",To be determined,,"Mount Auburn Street
(45.79727850000006, -108.64816199999996)",,,Bike Path
1824,PB3(June-December 2016),S161,"Streets, Sidewalks & Transit",Bicycle Parking Subsidies for Cambridge Businesses who Put in Bike Racks for at least 12 bikes,"Businesses who install additional bicycle parking on their premises for at least 12 bikes, with an approved bike rack style, will receive a subsidy from the City of Cambridge. Bicycle parking at businesses will benefit both businesses and cyclists, as it increases the ability and likelihood that cyclists will patronize businesses with sufficient bike parking, and decrease the likelihood of errant bike parking to sign posts, handicapped signs, parking meters and private property. More bike racks also makes it easier and more likely for patrons to choose environmentally friendly transportation, such as cycling, over driving. ",To be determined,Emilie Heilig,"citywide
(42.79029994800004, -86.10384999999997)",,,"Bicycle Parking Subsidies,Businesses,Cambridge,Bike Racks,bikes"
1825,PB4(June-December 2017),P121,"Parks, Recreation & Education",Update Glacken field playground/spray deck,The spray deck near Glacken Field is the only free place for children to cool off in the summer. It would really help families if the concrete around and the sprinkler was changed for something more child friendly. The park itself needs an update. Many parts of the climbing structure are rusted out. ,To be determined,Heidi B.,"Glacken Field
(42.38037000000003, -71.15143999999998)",,,"field playground,Update Glacken,spray deck"
1826,PB3(June-December 2016),P035,"Parks, Recreation & Education",Remodel the River Street Courts,"Especially in the summer, there are several girls basketball leagues that are hosted at the Riverside basketball courts. The courts are in dire need of a makeover. The courts themselves are slanted, and super slippery. If you watch a game, you will see girls slip and fall several times. Also, there is no padding  on the poles, so players are in danger of getting hurt. ","Budget Delegates did not rank this as a high priority project. The City recently purchased new pads for the poles and regularly performs minor maintenance on the courts, including sweeping pine needles from the courts twice a week.  ",Destiny,"Riverside Press Park, Memorial Drive
(41.41301000000004, -80.39118999999994)",,,River Street Courts
1827,PB3(June-December 2016),H048,"Environment, Health & Safety",Eliminate the Diaper Gap and Disposable Diaper Waste ,"A recent study out of Yale found that 3 out of 10 families does not have the diapers that they need. Aside from myriad health risks this incurs for babies, this inadequate diaper supply has negative impacts on the mental health of the adults taking care of the babies, which negatively affects the development of the baby.  A bulk purchase of $75,000 would provide 500 families with a set of 20 easy to use ""all-in-one"" washable diapers, fulfilling their need for the duration of their child's time in diapers. This would remove stress from families, while simultaneously diverting one ton of toxic, non-biodegradable waste from landfills per child. Cambridge has a healthy washable diaper resale and donation network, so these diapers would stay in Cambridge and serve families for decades. 
http://news.yale.edu/2013/07/29/no-money-diapers-depressing-reality-poor-mothers
http://www.grovia.com/shop/cloth/aio-cloth.html
http://realdiapers.org/diaper-facts","Budget Delegates did not move this idea forward. The project would help the first group of families, but would not solve the problem long term. Not all families use washable diapers and some won't be comfortable taking used ones from other families.",Aleksandra Ramsay and Katherine O'Neill,"citywide
(42.79029994800004, -86.10384999999997)",,,"Diaper Gap,Disposable Diaper Waste"
1828,PB3(June-December 2016),S065,"Streets, Sidewalks & Transit",Box and crosswalk signs,"This intersection is awful for pedestrians and for cars entering from Gore St.  Cars on 3rd routinely block the crosswalks and the intersection itself when the light is red at Cambridge St or McGrath Highway.  The intersection needs to be painted to remind people not to block it and signs telling people not to block the crosswalks are also needed.  Some enforcement wouldn't hurt, either.  I'm sure that there are other intersections where this is needed.",To be determined,Vicki,"Cambridge St/McGrath
(40.06907612100008, -81.58376437599998)",,,"Box,crosswalk,signs"
1829,PB3(June-December 2016),P034,"Parks, Recreation & Education",Basketball Court,Kids and adults can get sort of the gist of playing basketball. 110 cushing street,"Budget Delegates did not move this idea forward, because there is a nearby basketball court at Glacken Field.",Joshua,"Lawn Court
(32.13504000000006, -99.75038999999998)",,,Basketball Court
1830,PB3(June-December 2016),P032,"Parks, Recreation & Education",Outdoor Fitness / Workout Station,"It would encourage residents at our parks and open spaces to stretch, exercise, and stay fit! It is a one-time and relatively easy to maintain investment of outdoor exercise equipment. It's open and outdoor setting incorporates a social and community element encouraging park visitors to stretch, workout, and stay fit. 
A mix of stretching and body weight fitness equipment will provide a good range of exercises for a variety of age groups and ability levels. A good benchmark is present at Magazine Beach. However, that facility is considerably far away from many residents. Danehy Park provides ample space and is one of the most visited outdoor spaces in Cambridge. ","Budget Delegates submitted a high priority proposal to install all-ages outdoor fitness equipment around the city in existing parks, during park renovations, or as parks are planned. However, Delegates ultimately did not choose this proposal for the ballot. They had 8 final proposals that they needed to get down to 4 for the ballot and this one was narrowly beat by the others. A Danehy Park improvement project, which included adding new outdoor fitness equipment there, made it to the ballot but did not win funding.",,"Danehy Park
(39.89000000000004, -105.00027999999998)",,,"Outdoor Fitness,Workout Station"
1831,PB3(June-December 2016),C067,Culture & Community,Cambridge Public Makerspace,"Cambridge is a hub for very tech savvy individuals (which includes all age range) but yet, we don't have a FREE Makerspace. It would be wonderful to have a place where the residents can go to play around with new technology (like the 3D printer, laser cutter). And being a city, its also a synonym for lack of space. Makerspace could also house sewing machines, knitting/crocheting needles for residents use or bring their projects to a central place to work on.","Lib: At this time, there are three obstacles to creating a maker space at the Main Library:  space, staff hours, and  expertise to supervise the space and to assist the public. Unfortunately all three of these are beyond the scope of Participatory Budgeting to resolve.",Saffana,"Main Library, citywide
(37.87176000000005, -122.25896999999998)",,,Cambridge Public Makerspace
1832,PB3(June-December 2016),H012,"Environment, Health & Safety",More recycling centers,More recycling centers,Budget Delegates did not move this idea forward because the City already has a plan for adding and replacing on-street recycling bins.,Ona's ESL class,"citywide
(42.79029994800004, -86.10384999999997)",,,recycling centers
1833,PB3(June-December 2016),S064,"Streets, Sidewalks & Transit",Safer Crosswalks on Cambridge and Kirkland Streets,"Cars going at excessive speeds on Cambridge (near CRLS) and Kirkland Streets make road-crossing really dangerous, esp. for children.  Is there any way to enforce the so-called ""state law"" that cars have to stop?  Many drivers seem not to be aware of the law, or just don't care.  A thoughtful designer could figure out a way to make the crosswalks more visible and imposing, so as to encourage cars to stop for pedestrians.",To be determined,Glen Park,"Cambridge and Kirkland Streets
(42.37718150000006, -71.11150336399999)",,,"Crosswalks,Cambridge,Kirkland Streets"
1834,PB3(June-December 2016),S167,"Streets, Sidewalks & Transit",Modern parking meters ,I propose you use some of the money to get the city parking meters where you can pay on your phone like they have in Boston. They're so much more convenient. Or meters where you can pay with your credit card.,To be determined,Alaina,"citywide
(42.79029994800004, -86.10384999999997)",,,parking meters
1835,PB3(June-December 2016),H066,"Environment, Health & Safety",Housing for homeless,Housing for homeless ,Budget Delegates combined this idea with H061. They did not move this idea forward because it would require significant operating funds to staff and operate a shelter.,Ona's ESL class,"citywide
(42.79029994800004, -86.10384999999997)",,,"Housing,homeless"
1836,PB3(June-December 2016),H060,"Environment, Health & Safety",Homeless shelter,"Life is infinite...to connect the homelss with their meaningful fullness. Rainbows and happiness and all! What the city should do with the money is create a therapeutic Life Healing Building for the homeless. No great intelligent... would allow a tormenting homeless problem to exist. The city should ask the wealthy corporations and schools and citizens to contribute money. It should be in the central square area, in the city of wisdom and greatness. It should be a space to come to and get out of the cold and rest. It should have a small inexpensive cafe, coffee, milk donuts, etc. It should be a place where the homeless can come to tell their life story, so it could be put on file so helpful person or organizations can look it up and add to the person's progress. It should have an office which possesses appropriate work opportunities. It should have a used furniture store operated by the homeless, advertised in Cambridge and local cities. And finally, it should have a system of personal analysis like the one included, that could tell the homeless what would be good for them to do in life. ",Budget Delegates did not move this idea forward because it would require significant operating funds to staff and operate a shelter.,Peter,"Peabody Street
(42.54166588000004, -70.95702744999994)",,,Homeless shelter
1837,PB4(June-December 2017),P023,"Parks, Recreation & Education",Cambridge Commons Cafe,"Though there might be significant hurtles in constructing a cafe in a historic area, I think it would bring the community together both in its creation and ensuing use.  A small cafe (think snack bar/gazebo) with pastries and beverages could serve families at the playground, people commuting to Harvard Square, and even tourists.  The proximity to Waterhouse Street would enable access to the few necessary plumbing and electrical necessities and that we could engage students at Harvard's Graduate School of Design to help with the planning and design.  It would be great to get a solar panel on the structure both for the pure functionality and as an emblem of Cambridge's commitment to green energy.  Once up and running, the cafe could employ primarily (if not exclusively) graduates of the Cambridge Employment Program or CRLS students and donate any excess pastries to Youth on Fire.  I imagine the cafe would attract people to linger on the field out front and in the park, as so few do today",To be determined,AB,"Cambridge Common
(42.38213997400004, -71.11964992699995)",,,Cambridge Commons Cafe
1838,PB3(June-December 2016),P026,"Parks, Recreation & Education",Cost effective Fitness programs for Families,"I think Cambridge should offer budget friendly fitness programs for adults as well as for children.  These programs should be offered in the evening as well as on the weekends.I've notice that many of the fitness programs that are being offered are during the day when most of us single parents are at work, therefore we don't get to take advantage of these programs. Childcare should also be provided .","Not eligible: not a capital project (hiring fitness instructors or childcare providers is an operating expense). Budget Delegates submitted a high priority proposal to install all-ages outdoor fitness equipment around the city in existing parks, during park renovations, or as parks are planned. However, Delegates ultimately did not choose this proposal for the ballot. They had 8 final proposals that they needed to get down to 4 for the ballot and this one was narrowly beat by the others. A Danehy Park improvement project, which included adding new outdoor fitness equipment there, made it to the ballot but did not win funding.",Nicolette Kelly,"citywide
(42.79029994800004, -86.10384999999997)",,,"Fitness programs,Families"
1839,PB3(June-December 2016),P087,"Parks, Recreation & Education",A Second Entrance Set of Covered Benches,"Danehy Dog Park is a wonderful place which sees a significant degree of use by residents from all over Cambridge. In summer months, the existing covered seating area gets scorching hot even very early (7am) in the morning. This is because the sun shines directly on the benches and is too low for the existing cover to provide protection. A second set of covered benches, located at the opposite end of the park, would provide relief from the sun during these times.   Combined with a second set of ""air lock"" gates, the second seating area would also provide the significant benefit of helping to balance the dog park usage across the entire fenced area. Dogs tend to congregate where the people do while leaving the rest of the park empty. A second human seating area will go a long way towards correcting this imbalance.",Budget Delegates did not rank this as a high priority project (low need and impact compared to other projects).,Jeff M,"Danehy dog park
(39.11014000000006, -100.36132999999995)",,,A Second Entrance Set of Covered Benches
1840,PB3(June-December 2016),S096,"Streets, Sidewalks & Transit",Separated Cycle Tracks,"I think the best way to spend the money is to build cycle tracks, which are physical barriers for cyclists separating them from cars and cycle/motor vehicle accidents.  The vast majority of cycle accidents and fatalities are due to biking on the road in a bike lane, which doesn't actually protect or save their lives. The only way to resolve this is to build separated cycle tracks, not cycle lanes. ",To be determined,Roger D.,"Inman Square, citywide
(42.382040000000075, -71.10976999999997)",,,Cycle Tracks
1841,PB3(June-December 2016),P010,"Parks, Recreation & Education",Parklet Boulevard on Brattle,Take out a lane of traffic on Brattle from Eilot St to Farwell Pl and replace it with two blocks of parklets or pedestrian seating (like was done outside the Garage on Mt Auburn). Could even retain the parking on both sides and leave one lane of traffic (two lanes is too much and second lane is often used just for double parking),"Budget Delegates researched parklet ideas, but did not move them forward due to feasibility conerns (hard to find spaces that can be converted into parklets, requires more extensive community discussions about parking). In addition, parklets typically operate as public-private partnerships where the City owns the land but a business maintains the parklet.",CBD,"Brattle Street from Eliot St. to Farwell Pl.
(34.39691000000005, -103.03269999999998)",,,"Parklet Boulevard,Brattle"
1842,PB3(June-December 2016),P051,"Parks, Recreation & Education",Resurface tennis courts and repair nets,"These courts get a lot of use during the warm weather months, plus they are the practice courts for CRLS teams.  However, the surface is looking a bit worse for wear, which is takes both a physical toll and makes it tough for players to make honest calls. A new surface, painted lines, and proper nets would benefit players of all ages.","Budget Delegates did not move this idea forward because the Recreation, Community Development, and School Departments are already discussing renovations and have started a feasibility study to explore options for the space. The City will conduct a more thorough community engagement process (than PB) to involve residents.",KC,"War Memorial Park
(35.792440000000056, -95.31015999999994)",,,"tennis courts,repair nets"
